1290	9113	
1909	6297	
12813	4306	
4145	9095	
6254	982	
1604	1945	
1685	2748	
8308	7374	
3479	11014	
7994	4437	
3690	4453	
32	9800	
7626	2187	
4110	3927	
3373	10270	
3429	6905	
3104	10438	
1060	14121	
5797	3100	
3049	11955	
13468	3654	
4559	7337	
14189	12235	
2525	1799	
12088	11400	
7704	14175	
12036	1340	
6895	8450	
11764	1030	
14372	4428	
5056	12497	
1730	2467	
3095	4706	
12257	8147	
729	1094	
102	5928	
1691	13122	
592	10874	
6820	11688	
438	7342	
12820	13490	
5324	6887	
13821	3999	
14029	13872	
6697	3271	
7642	1452	
491	261	
6072	564	
8729	6440	
14047	3541	
9447	10005	
8278	12932	
2055	1861	
10724	7086	
13388	11199	
10218	2168	
10839	3842	
10861	671	
1688	2080	
5135	3965	
7310	8458	
7965	1722	
10057	14460	
1963	10500	
5333	9890	
10801	3689	
1646	900	
3800	8605	
14220	2903	
3850	6186	
1684	4557	
5264	10147	
1474	4565	
10700	12034	
8941	6585	
2894	14085	
8810	7472	
14985	7808	
11820	13446	
2393	11292	
12661	4048	
10524	10388	
4876	10932	
13298	8104	
5891	2964	
11474	186	
8563	7539	
14778	10750	
7046	11456	
8306	9687	
14193	5024	
13894	325	
10028	1472	
10255	14674	
856	7151	
5036	8675	
3611	1130	
450	4436	
12107	14642	
6525	4988	
10629	12952	
10946	14768	
5128	3896	
9627	6131	
13195	12715	
2045	2331	
8480	1326	
5338	823	
11484	14512	
8342	9580	
12755	4785	
1240	4791	
1149	12902	
1343	9405	
11391	778	
13270	4766	
12143	11198	
14110	13319	
9440	1680	
12958	8567	
13925	641	
13249	5273	
3526	6264	
2285	12617	
9509	1285	
5067	282	
2108	6096	
10896	13083	
2140	504	
2455	8450	
1708	13303	
4576	7560	
5578	6649	
10773	2109	
14207	4832	
3812	3680	
359	2738	
13943	10759	
8067	10883	
10965	2772	
13099	3594	
10760	8356	
8184	13760	
8971	13263	
1627	1510	
13576	1670	
55	9016	
5104	11274	
5290	12465	
3196	11005	
13121	2292	
14976	8303	
217	7020	
6727	6024	
3977	10145	
9978	9804	
14188	5015	
14817	752	
7910	11373	
7100	14040	
412	11823	
1027	4002	
7661	8601	
13282	8890	
5927	13688	
192	2379	
4378	7174	
8063	13383	
5282	11058	
5670	13812	
880	3330	
5361	9563	
12655	9950	
7866	4165	
3948	3570	
10505	2492	
5942	2464	
983	5323	
2917	2919	
14064	9387	
12552	13444	
9079	8099	
6702	5363	
7643	9892	
7646	11474	
6031	2174	
1402	5762	
9112	14138	
2182	2043	
8695	10550	
63	1003	
7838	12918	
12518	12715	
3791	9949	
3539	5207	
6240	607	
1055	5063	
11739	2290	
2961	4446	
6370	6393	
9418	9014	
2888	2156	
1253	9142	
386	6264	
2030	4770	
2124	1686	
1139	5901	
9272	14403	
8119	1598	
14153	7516	
2667	11644	
5405	11899	
14400	7286	
4609	11090	
8608	8100	
6095	12067	
11578	7404	
10115	1017	
8923	14994	
8715	855	
8218	12311	
8404	4467	
13796	5724	
2345	6991	
10054	14267	
3191	6508	
14097	5826	
3284	14683	
5688	6454	
1877	1289	
9261	9280	
4591	1837	
